dv_left,r_hat,Vinf,vout,shield_burned,r2,is_science,tof,body_id,v2,v1
"[0, 0, 0]",[-3.467018223288942e-01; 9.379753975418672e-01;-1.594605177019608e-11],225741.84288518794,"[0, 0, 0]",False,"(-4788639656.029297, 12955300191.032476, -0.22024659504506244)",True,902891988.0991986,1,"(129164.7314388156, -67404.22935703087, 1.145905674790803e-06)","[0, 0, 0]"
"[0, 0, 0]",[-0.946700294732292;-0.31784057479534 ; 0.052306031846806],50623.97994039584,"(131450.6879815676, -35940.423139980965, -5808.023649259376)",False,"(-118419533056.53673, -39757600861.7688, 6542784344.532875)",True,306026746.1119874,2,"(17366.847811368396, 18758.236363483258, -1194.3981598502824)","(131450.6879815676, -35940.423139980965, -5808.023649259376)"
"[0, 0, 0]",[0.623187671155113;0.782072328189833;0.               ],235267.17462972004,"(10187.851316550616, 19007.710581371357, 374.0065297831436)",False,"(8607457483.659132, 10801969656.368202, 0.0)",True,86087787.355239,1,"(92223.145618096, -98710.68968610557, -12889.589396868776)","(10187.851316550616, 19007.710581371357, 374.0065297831436)"
"[0, 0, 0]",[-0.829571984653223;-0.55607248640189 ; 0.050928500324793],51229.832433231575,"(102513.32376539207, -85922.53722412897, -22531.490346117604)",False,"(-102713809978.55038, -68850352662.83665, 6305734043.12825)",True,160147758.96455035,2,"(4731.512073885908, 21152.81941251384, 1597.6740466756928)","(102513.32376539207, -85922.53722412897, -22531.490346117604)"
"[0, 0, 0]",[ 0.982224527483322;-0.187709822892052; 0.               ],229456.3104765915,"(9404.193573118375, 22396.591249260702, -1724.234044878222)",False,"(13566468418.81365, -2592644871.830862, 0.0)",True,15958675.44219479,1,"(40599.755132712104, -129600.26636181946, 8683.34343509938)","(9404.193573118375, 22396.591249260702, -1724.234044878222)"
"[0, 0, 0]",[-0.155412093942046;-0.98781921145481 ; 0.007764440568776],46549.22670746344,"(57325.92831104848, -127548.19610502737, 889.6910510633279)",False,"(-28079244012.112083, -178475278047.76263, 1402848490.2179694)",True,116570703.43941645,3,"(-13162.468847407457, -27330.596462216334, 227.74772713312188)","(57325.92831104848, -127548.19610502737, 889.6910510633279)"
"[0, 0, 0]",[ 0.968713094417135;-0.248183280469857; 0.               ],228259.03013552367,"(-12993.321654109921, -27626.30955386051, 233.88610469579174)",False,"(13379848735.781498, -3427903236.3392653, 0.0)",True,112380621.18722738,1,"(53793.016603509575, -129123.8860534848, 871.4834443087565)","(-12993.321654109921, -27626.30955386051, 233.88610469579174)"
"[0, 0, 0]",[-0.528477279897774;-0.848947445153025;-0.               ],15976.37622794884,"(60028.59251989567, -128243.07909439049, 0.0)",False,"(-595101374380.2766, -955972585018.063, -0.0)",True,544522044.3906314,5,"(4591.682298414893, 9913.644033612003, 0.0)","(60028.59251989567, -128243.07909439049, 0.0)"
"[0, 0, 0]",[-0.856720591239805;-0.47910478416144 ; 0.191019460629904],34080.974415890945,"(-135.82859455481866, 7220.300163572428, 1583.819067867413)",False,"(-377120398578.1582, -210897448959.63452, 84084981574.54706)",True,65373411.05473566,4,"(10982.149507193339, 17879.61166783444, 50.64447632194242)","(-135.82859455481866, 7220.300163572428, 1583.819067867413)"
"[0, 0, 0]",[ 0.263282721322869;-0.961493931407432;-0.078813885321719],25494.736604747628,"(9566.338571952292, 18010.74826790449, -1903.3149398291414)",False,"(164476949322.27942, -600660718771.0005, -49236301405.649124)",True,607928987.741071,1000,"(-3917.70054312601, -14722.399403613626, 646.2095227691104)","(9566.338571952292, 18010.74826790449, -1903.3149398291414)"
